nirn_tamriel_argonia;Провинция Чернотопье;;;;;;;;;;;;;x
nirn_tamriel_colovia;Регион Коловия;;;;;;;;;;;;;x
nirn_tamriel_nibenay;Регион Нибеней;;;;;;;;;;;;;x
nirn_tamriel_heartlands;Регион Хартленд;;;;;;;;;;;;;x
nirn_tamriel_cyrodiil;Провинция Сиродил;;;;;;;;;;;;;x
nirn_tamriel_pelletine;Регион Пеллетин;;;;;;;;;;;;;x
nirn_tamriel_anequina;Регион Анеквина;;;;;;;;;;;;;x
nirn_tamriel_elsweyr;Провинция Эльсвейр;;;;;;;;;;;;;x
nirn_tamriel_hammerfell;Провинция Хаммерфелл;;;;;;;;;;;;;x
nirn_tamriel_highrock;Провинция Хай Рок;;;;;;;;;;;;;x
nirn_tamriel_morrowind;Провинция Морровинд;;;;;;;;;;;;;x
nirn_tamriel_pyandonea;Архипелаг Пиандонея;;;;;;;;;;;;;x
nirn_tamriel_skyrim;Провинция Скайрим;;;;;;;;;;;;;x
nirn_tamriel_summerset;Провинция Саммерсет;;;;;;;;;;;;;x
nirn_tamriel_valenwood;Провинция Валенвуд;;;;;;;;;;;;;x
nirn_tamriel_vvardenfell;Остров Вварденфелл;;;;;;;;;;;;;x
nirn_tamriel_solstheim;Остров Солстхейм;;;;;;;;;;;;;x
nirn_tamriel_thereach;Регион Предел;;;;;;;;;;;;;x
nirn_tamriel_westernreach;Регион Западный Предел;;;;;;;;;;;;;x
nirn_tamriel_eastern_skyrim;Регион Восточный Скайрим;;;;;;;;;;;;;x
nirn_tamriel_western_skyrim;Регион Западный Скайрим;;;;;;;;;;;;;x
nirn_tamriel;Континент Тамриэль;;;;;;;;;;;;;x
nirn_yokuda;Остатки Йокуды;;;;;;;;;;;;;x
nirn_akavir_kamaleimirvuk;Камалей Мирвак;;;;;;;;;;;;;x
nirn_akavir_mehekbaz;Мехекбаз;;;;;;;;;;;;;x
nirn_akavir_kamalettan;Камалеттан;;;;;;;;;;;;;x
nirn_akavir_ryzgaley;Ризгалей;;;;;;;;;;;;;x
nirn_akavir_ratchata;Ратчата;;;;;;;;;;;;;x
nirn_akavir_sungkwa;Сунг Ква;;;;;;;;;;;;;x
nirn_akavir_phaedin;Фа Дин;;;;;;;;;;;;;x
nirn_akavir_xiyang;Кси Янг;;;;;;;;;;;;;x
nirn_akavir_gucun;Гакан;;;;;;;;;;;;;x
nirn_akavir_beidao;Бейдао;;;;;;;;;;;;;x
nirn_akavir_nuku;Нуку;;;;;;;;;;;;;x
nirn_akavir_panman;Панман;;;;;;;;;;;;;x
nirn_akavir_gorkota;Горкота;;;;;;;;;;;;;x
nirn_akavir_sigtari;Сигтари;;;;;;;;;;;;;x
nirn_akavir_kamipara;Камипара;;;;;;;;;;;;;x
nirn_akavir_zasho;Зашо;;;;;;;;;;;;;x
nirn_akavir_islands;Эсрониэт и Инслеа;;;;;;;;;;;;;x
nirn_akavir_cathnoquey;Катноквей;;;;;;;;;;;;;x
nirn_akavir_tsaesci;Земля Цаэски;;;;;;;;;;;;;x
nirn_akavir_potun;Земля По'Тун;;;;;;;;;;;;;x
nirn_akavir_kamal;Земля Камаль;;;;;;;;;;;;;x
nirn_akavir_tangmo;Земля Танг Мо;;;;;;;;;;;;;x
nirn_akavir_quey;Земля Квей;;;;;;;;;;;;;x
nirn_akavir;Континент Акавир;;;;;;;;;;;;;x
nirn_roscrea;Роскреа;;;;;;;;;;;;;x
nirn_atmora;Континент Атмора;;;;;;;;;;;;;x
custom_region_iliac_bay;Залив Илиак;;;;;;;;;;;;;x
