#CODE;RUSSIAN;x
d_connacht_adj;Коннахт;x
d_leinster_adj;Лейнстер;x
d_munster_adj;Манстер;x
d_ulster_adj;Ульстер;x
d_argyll_adj;Аргиль;x
d_lothian_adj;Лотиан;x
d_galloway_adj;Галловей;x
d_northumberland_adj;Нортубриан;x
d_gelre_adj;Гелриан;x
d_ryazan_adj;Рязан;x
d_bulgar_adj;Булгар;x
d_mazandaran_adj;Мезендеран;x
d_moray_adj;Морей;x
d_meath_adj;Мит;x
d_deheubarth_adj;Дехейбарт;x
d_brunswick_adj;Брансвик;x
d_dauphine_adj;Дофин;x
#d_valois_adj;Валуа;x
d_constantine_adj;Константин;x
d_abbasid_adj;Аббасид;x
d_balearic_adj;Балеар;x
d_bergen_adj;Берген;x
d_bordeaux_adj;Бордос;x
d_gilan_adj;Гилан;x
FE_CREATE_GAME;Создать игру;x
HOST_DESC;Создайте игру, чтобы другие могли присоединиться\nВы не сможете изменить дату, или выбрать сохранение после того как игра будет создана;x
DEATH_BY_MURDER_NO_KILLER;[This.GetSheHe] погиб[This.GetNoneE] от руки убиийцы;x
DEATH_EXECUTION_NO_KILLER;[This.GetSheHe] погиб[This.GetNoneE] от рук палача;x
DEATH_DUNGEON_NO_KILLER;[This.GetSheHe] умер[This.GetNoneE] в тюрьме;x
DEATH_DUEL_NO_KILLER;[This.GetSheHe] погиб[This.GetNoneE] на дуэли;x
EVTOPTB3335;[Root.Liege.GetTitledFirstName] в порядке;x
plot_weaken_fellow_vassal_title;Сменить власть в области "[This.GetName]";x
plot_weaken_fellow_vassal_desc;[This.Holder.GetTitledName] потеряет часть владений. Власть правителя ослабнет, если [This.GetFullName] отойдет одному из его вассалов.;x
plot_weaken_fellow_vassal_decision;[Root.GetPlot];x
plot_weaken_fellow_vassal_decision_desc;Мы можем послать ультиматум. [Root.PlotTarget.GetTitledName] его получит, и это завершит заговор.;x
plot_weaken_fellow_vassal_decision_liege;Искать поддержки ([Root.TopLiege.GetTitledFirstName] может мне помочь).;x
