restore_d_eightdivines;Восстановить [Root.Religion.GetName] религиозную главу;;;;;;;;;x
restore_d_eightdivines_desc;Верующие в [Root.Religion.GetName] нуждаются в настоящем религиозном лидере, который бы руководил ими. Контролируя достаточное количество ключевых территорий, важных для нашей веры, мы можем восстановить нашу религиозную главу.;;;;;;;;;x
restore_d_ninedivines;Восстановить [Root.Religion.GetName] религиозную главу;;;;;;;;;x
restore_d_ninedivines_desc;Верующие в [Root.Religion.GetName] нуждаются в настоящем религиозном лидере, который бы руководил ими. Контролируя достаточное количество ключевых территорий, важных для нашей веры, мы можем восстановить нашу религиозную главу.;;;;;;;;;x
restore_d_alessianorder;Восстановить [Root.Religion.GetName] религиозную главу;;;;;;;;;x
restore_d_alessianorder_desc;Верующие в [Root.Religion.GetName] нуждаются в настоящем религиозном лидере, который бы руководил ими. Контролируя достаточное количество ключевых территорий, важных для нашей веры, мы можем восстановить нашу религиозную главу.;;;;;;;;;x
restore_d_alikr;Восстановить [Root.Religion.GetName] религиозную главу;;;;;;;;;x
restore_d_alikr_desc;Верующие в [Root.Religion.GetName] нуждаются в настоящем религиозном лидере, который бы руководил ими. Контролируя достаточное количество ключевых территорий, важных для нашей веры, мы можем восстановить нашу религиозную главу.;;;;;;;;;x
restore_d_satakal;Восстановить [Root.Religion.GetName] религиозную главу;;;;;;;;;x
restore_d_satakal_desc;Верующие в [Root.Religion.GetName] нуждаются в настоящем религиозном лидере, который бы руководил ими. Контролируя достаточное количество ключевых территорий, важных для нашей веры, мы можем восстановить нашу религиозную главу.;;;;;;;;;x
restore_k_almsivi;Восстановить [Root.Religion.GetName] религиозную главу;;;;;;;;;x
restore_k_almsivi_desc;Верующие в [Root.Religion.GetName] нуждаются в настоящем религиозном лидере, который бы руководил ими. Контролируя достаточное количество ключевых территорий, важных для нашей веры, мы можем восстановить нашу религиозную главу.;;;;;;;;;x
restore_d_nerevarine;Восстановить [Root.Religion.GetName] религиозную главу;;;;;;;;;x
restore_d_nerevarine_desc;Верующие в [Root.Religion.GetName] нуждаются в настоящем религиозном лидере, который бы руководил ими. Контролируя достаточное количество ключевых территорий, важных для нашей веры, мы можем восстановить нашу религиозную главу.;;;;;;;;;x
