secret_religious_society_bon;[This.GetReligiousCommunityName_bon];x
secret_religious_society_khurmazta;[This.GetReligiousCommunityName_khurmazta];x
secret_religious_society_taoist;[This.GetReligiousCommunityName_taoist];x
secret_religious_society_jewish;[This.GetReligiousCommunityName_jewish];x
secret_religious_society_zoroastrian;[This.GetReligiousCommunityName_zoroastrian];x
secret_religious_society_norse_pagan_reformed;[This.GetReligiousCommunityName_norse_pagan_reformed];x
secret_religious_society_slavic_pagan_reformed;[This.GetReligiousCommunityName_slavic_pagan_reformed];x
secret_religious_society_baltic_pagan_reformed;[This.GetReligiousCommunityName_baltic_pagan_reformed];x
secret_religious_society_tengri_pagan_reformed;[This.GetReligiousCommunityName_tengri_pagan_reformed];x
secret_religious_society_finnish_pagan_reformed;[This.GetReligiousCommunityName_finnish_pagan_reformed];x
secret_religious_society_west_african_pagan_reformed;[This.GetReligiousCommunityName_west_african_pagan_reformed];x
secret_religious_society_zun_pagan_reformed;[This.GetReligiousCommunityName_zun_pagan_reformed];x
secret_religious_society_catholic;[This.GetReligiousCommunityName_catholic];x
secret_religious_society_orthodox;[This.GetReligiousCommunityName_orthodox];x
secret_religious_society_sunni;[This.GetReligiousCommunityName_sunni];x
secret_religious_society_shiite;[This.GetReligiousCommunityName_shiite];x
secret_religious_society_hindu;[This.GetReligiousCommunityName_hindu];x
secret_religious_society_buddhist;[This.GetReligiousCommunityName_buddhist];x
secret_religious_society_jain;[This.GetReligiousCommunityName_jain];x
secret_religious_society_cathar;[This.GetReligiousCommunityName_cathar];x
secret_religious_society_fraticelli;[This.GetReligiousCommunityName_fraticelli];x
secret_religious_society_lollard;[This.GetReligiousCommunityName_lollard];x
secret_religious_society_waldensian;[This.GetReligiousCommunityName_waldensian];x
secret_religious_society_bogomilist;[This.GetReligiousCommunityName_bogomilist];x
secret_religious_society_monothelite;[This.GetReligiousCommunityName_monothelite];x
secret_religious_society_iconoclast;[This.GetReligiousCommunityName_iconoclast];x
secret_religious_society_paulician;[This.GetReligiousCommunityName_paulician];x
secret_religious_society_miaphysite;[This.GetReligiousCommunityName_miaphysite];x
secret_religious_society_monophysite;[This.GetReligiousCommunityName_monophysite];x
secret_religious_society_nestorian;[This.GetReligiousCommunityName_nestorian];x
secret_religious_society_messalian;[This.GetReligiousCommunityName_messalian];x
secret_religious_society_zikri;[This.GetReligiousCommunityName_zikri];x
secret_religious_society_yazidi;[This.GetReligiousCommunityName_yazidi];x
secret_religious_society_druze;[This.GetReligiousCommunityName_druze];x
secret_religious_society_hurufi;[This.GetReligiousCommunityName_hurufi];x
secret_religious_society_ibadi;[This.GetReligiousCommunityName_ibadi];x
secret_religious_society_kharijite;[This.GetReligiousCommunityName_kharijite];x
secret_religious_society_samaritan;[This.GetReligiousCommunityName_samaritan];x
secret_religious_society_karaite;[This.GetReligiousCommunityName_karaite];x
secret_religious_society_mazdaki;[This.GetReligiousCommunityName_mazdaki];x
secret_religious_society_manichean;[This.GetReligiousCommunityName_manichean];x
secret_religious_society_norse_pagan;[This.GetReligiousCommunityName_norse_pagan];x
secret_religious_society_baltic_pagan;[This.GetReligiousCommunityName_baltic_pagan];x
secret_religious_society_finnish_pagan;[This.GetReligiousCommunityName_finnish_pagan];x
secret_religious_society_slavic_pagan;[This.GetReligiousCommunityName_slavic_pagan];x
secret_religious_society_tengri_pagan;[This.GetReligiousCommunityName_tengri_pagan];x
secret_religious_society_aztec;[This.GetReligiousCommunityName_aztec];x
secret_religious_society_aztec_reformed;[This.GetReligiousCommunityName_aztec_reformed];x
secret_religious_society_west_african_pagan;[This.GetReligiousCommunityName_west_african_pagan];x
secret_religious_society_zun_pagan;[This.GetReligiousCommunityName_zun_pagan];x


secret_religious_society_bon_desc;[This.GetReligiousSocietyDesc_bon];x
secret_religious_society_khurmazta_desc;[This.GetReligiousSocietyDesc_khurmazta];x
secret_religious_society_taoist_desc;[This.GetReligiousSocietyDesc_taoist];x
secret_religious_society_jewish_desc;[This.GetReligiousSocietyDesc_jewish];x
secret_religious_society_zoroastrian_desc;[This.GetReligiousSocietyDesc_zoroastrian];x
secret_religious_society_norse_pagan_reformed_desc;[This.GetReligiousSocietyDesc_norse_pagan_reformed];x
secret_religious_society_slavic_pagan_reformed_desc;[This.GetReligiousSocietyDesc_slavic_pagan_reformed];x
secret_religious_society_baltic_pagan_reformed_desc;[This.GetReligiousSocietyDesc_baltic_pagan_reformed];x
secret_religious_society_tengri_pagan_reformed_desc;[This.GetReligiousSocietyDesc_tengri_pagan_reformed];x
secret_religious_society_finnish_pagan_reformed_desc;[This.GetReligiousSocietyDesc_finnish_pagan_reformed];x
secret_religious_society_west_african_pagan_reformed_desc;[This.GetReligiousSocietyDesc_west_african_pagan_reformed];x
secret_religious_society_zun_pagan_reformed_desc;[This.GetReligiousSocietyDesc_zun_pagan_reformed];x
secret_religious_society_catholic_desc;[This.GetReligiousSocietyDesc_catholic];x
secret_religious_society_orthodox_desc;[This.GetReligiousSocietyDesc_orthodox];x
secret_religious_society_sunni_desc;[This.GetReligiousSocietyDesc_sunni];x
secret_religious_society_shiite_desc;[This.GetReligiousSocietyDesc_shiite];x
secret_religious_society_hindu_desc;[This.GetReligiousSocietyDesc_hindu];x
secret_religious_society_buddhist_desc;[This.GetReligiousSocietyDesc_buddhist];x
secret_religious_society_jain_desc;[This.GetReligiousSocietyDesc_jain];x
secret_religious_society_cathar_desc;[This.GetReligiousSocietyDesc_cathar];x
secret_religious_society_fraticelli_desc;[This.GetReligiousSocietyDesc_fraticelli];x
secret_religious_society_lollard_desc;[This.GetReligiousSocietyDesc_lollard];x
secret_religious_society_waldensian_desc;[This.GetReligiousSocietyDesc_waldensian];x
secret_religious_society_bogomilist_desc;[This.GetReligiousSocietyDesc_bogomilist];x
secret_religious_society_monothelite_desc;[This.GetReligiousSocietyDesc_monothelite];x
secret_religious_society_iconoclast_desc;[This.GetReligiousSocietyDesc_iconoclast];x
secret_religious_society_paulician_desc;[This.GetReligiousSocietyDesc_paulician];x
secret_religious_society_miaphysite_desc;[This.GetReligiousSocietyDesc_miaphysite];x
secret_religious_society_monophysite_desc;[This.GetReligiousSocietyDesc_monophysite];x
secret_religious_society_nestorian_desc;[This.GetReligiousSocietyDesc_nestorian];x
secret_religious_society_messalian_desc;[This.GetReligiousSocietyDesc_messalian];x
secret_religious_society_zikri_desc;[This.GetReligiousSocietyDesc_zikri];x
secret_religious_society_yazidi_desc;[This.GetReligiousSocietyDesc_yazidi];x
secret_religious_society_druze_desc;[This.GetReligiousSocietyDesc_druze];x
secret_religious_society_hurufi_desc;[This.GetReligiousSocietyDesc_hurufi];x
secret_religious_society_ibadi_desc;[This.GetReligiousSocietyDesc_ibadi];x
secret_religious_society_kharijite_desc;[This.GetReligiousSocietyDesc_kharijite];x
secret_religious_society_samaritan_desc;[This.GetReligiousSocietyDesc_samaritan];x
secret_religious_society_karaite_desc;[This.GetReligiousSocietyDesc_karaite];x
secret_religious_society_mazdaki_desc;[This.GetReligiousSocietyDesc_mazdaki];x
secret_religious_society_manichean_desc;[This.GetReligiousSocietyDesc_manichean];x
secret_religious_society_norse_pagan_desc;[This.GetReligiousSocietyDesc_norse_pagan];x
secret_religious_society_baltic_pagan_desc;[This.GetReligiousSocietyDesc_baltic_pagan];x
secret_religious_society_finnish_pagan_desc;[This.GetReligiousSocietyDesc_finnish_pagan];x
secret_religious_society_slavic_pagan_desc;[This.GetReligiousSocietyDesc_slavic_pagan];x
secret_religious_society_tengri_pagan_desc;[This.GetReligiousSocietyDesc_tengri_pagan];x
secret_religious_society_aztec_desc;[This.GetReligiousSocietyDesc_aztec];x
secret_religious_society_aztec_reformed_desc;[This.GetReligiousSocietyDesc_aztec_reformed];x
secret_religious_society_west_african_pagan_desc;[This.GetReligiousSocietyDesc_west_african_pagan];x
secret_religious_society_zun_pagan_desc;[This.GetReligiousSocietyDesc_zun_pagan];x

secret_religious_society_REAL_bon;Верные бонпо;x
secret_religious_society_REAL_khurmazta;Верные Хурмазте;x
secret_religious_society_REAL_jewish;Верные Богу;x
secret_religious_society_REAL_zoroastrian;Верные маги;x
secret_religious_society_REAL_norse_pagan_reformed;Верные клятвам;x
secret_religious_society_REAL_slavic_pagan_reformed;Верные Перуну;x
secret_religious_society_REAL_baltic_pagan_reformed;Дети Диеваса;x
secret_religious_society_REAL_tengri_pagan_reformed;Всадники синего неба;x
secret_religious_society_REAL_finnish_pagan_reformed;Вестники Укко;x
secret_religious_society_REAL_west_african_pagan_reformed;Духовные хранители;x
secret_religious_society_REAL_zun_pagan_reformed;Хранители живого огня Зуна;x
secret_religious_society_REAL_catholic;Последователи Иисуса;x
secret_religious_society_REAL_orthodox;Старые христиане;x
secret_religious_society_REAL_sunni;Исламские братья;x
secret_religious_society_REAL_shiite;Приверженцы Али;x
secret_religious_society_REAL_hindu;Санатана Дхарма;x
secret_religious_society_REAL_buddhist;Верные Восьмеричному пути;x
secret_religious_society_REAL_jain;Безвредные;x
secret_religious_society_REAL_cathar;Добрые христиане;x
secret_religious_society_REAL_fraticelli;Духовные францисканцы;x
secret_religious_society_REAL_lollard;Бедные священники;x
secret_religious_society_REAL_waldensian;Верные вальденсы;x
secret_religious_society_REAL_bogomilist;Верные богомилы;x
secret_religious_society_REAL_monothelite;Верные монофелиты;x
secret_religious_society_REAL_iconoclast;Иконоборцы;x
secret_religious_society_REAL_paulician;Верные павликиане;x
secret_religious_society_REAL_miaphysite;Верные миафизиты;x
secret_religious_society_REAL_monophysite;Верные монофизиты;x
secret_religious_society_REAL_nestorian;Верные несториане;x
secret_religious_society_REAL_messalian;Верные мессалиане;x
secret_religious_society_REAL_zikri;Верные зикру;x
secret_religious_society_REAL_yazidi;Дети ангелов;x
secret_religious_society_REAL_druze;Мудрые;x
secret_religious_society_REAL_hurufi;Верные хуруфиты;x
secret_religious_society_REAL_ibadi;Верные ибадиты;x
secret_religious_society_REAL_kharijite;Обменники;x
secret_religious_society_REAL_samaritan;Дети Израиля;x
secret_religious_society_REAL_karaite;Чтецы;x
secret_religious_society_REAL_mazdaki;Верные маздакийцы;x
secret_religious_society_REAL_manichean;Верные манихеи;x
secret_religious_society_REAL_norse_pagan;Верные старым клятвам;x
secret_religious_society_REAL_baltic_pagan;Избранники Диеваса;x
secret_religious_society_REAL_finnish_pagan;Топоры Укко;x
secret_religious_society_REAL_slavic_pagan;Воины Перуна;x
secret_religious_society_REAL_tengri_pagan;Стрелы Тенгри;x
secret_religious_society_REAL_aztec;Хранители тайного огня;x
secret_religious_society_REAL_aztec_reformed;Дети Солнца;x
secret_religious_society_REAL_west_african_pagan;Воины Духа;x
secret_religious_society_REAL_zun_pagan;Несущие свет Зуна;x

secret_religious_society_bon_desc_REAL;Последователи религии бон поклоняются многим богам и духам. Приверженцы стремятся к "великому совершенству" через дзогчен, который является одним из девяти путей их веры. В тайне они приносят в жертву фигуры животных, сделанные из ячменного теста дабы почтить высшие силы.;x
secret_religious_society_khurmazta_desc_REAL;Согдомаздеисты верят, что есть два основополагающих принципа Вселенной - Свет (добро) и Тьма (зло). В результате происшествия космических масштабов, эти два начала смешались, отсквернив всё, кроме Бога. Целью человечества, по их мнению, является рапространение мудрости благого Бога посредством освобождения своего Внутреннего Света совершением добрых дел.;x
