alteration_staff;Посох Изменения;;;;;;;;;;;;;x;
alteration_staff_desc;Редкий и труднодоступный посох магии Изменения.;;;;;;;;;;;;;x;
atronach;Атронах (Слуга);;;;;;;;;;;;;x;
atronach_desc;Этот персонаж каким-то образом приручил атронаха, созданного из энергии Обливиона.;;;;;;;;;;;;;x;
auriels_bow;Лук Ауриэля;;;;;;;;;;;;;x;
auriels_bow_desc;Лук Ауриэля — это артефакт созданный великим эльфийским богом-героем Ауриэлем, аспектом имперского Акатоша, Дракона-Бога времени. Хотя он выглядит как обычный эльфийский лук из лунной руды, он является одним из мощнейших артефактов, когда-либо существовавших в Тамриэле.;;;;;;;;;;;;;x;
shield_auriel;Щит Ауриэля;;;;;;;;;;;;;x;
FORMER_COFFER_OWNER_TT;Имеет кровь Оргнума или ранее не использовал сундук в течение последних 25 лет.;;;;;;;;;;;;;x
shield_auriel_desc;Щит Ауриэля - это артефакт, принадлежавший эльфийскому богу Ауриэлю, аспекту имперского Акатоша, Дракона-Бога времени. Он имеет форму небольшого щита, с округлыми краями, сделанного из лунной руды и эбонита. Щит Ауриэля непревзойдён по своим способностям к сопротивлению магии и оружию, что делает его обладателя практически неуязвимым.;;;;;;;;;;;;;x;
azuras_star;Звезда Азуры;;;;;;;;;;;;;x;
azuras_star_desc;Звезда Азуры является артефактом, созданным даэдрической принцессой Азурой. Внешне она выглядит как большая,  затейливо раскрашенная метательная звезда. В умелых руках Звезда Азуры действует как многоразовый камень душ с практически неограниченной вместимостью. Это делает данный артефакт весьма востребованным у магов и ассасинов.;;;;;;;;;;;;;x;
band_of_arcane_sight;Кольцо чародейского зрения;;;;;;;;;;;;;x
band_of_arcane_sight_desc;Это кольцо зачаровано разнообразными чарами обнаружения магии, что позволяет облегчить симптомы слепоты.;;;;;;;;;;;;;x
book_guide_to_tamriel;Императорский путеводитель по Тамриэлю;;;;;;;;;;;;;x;
book_guide_to_tamriel_desc;Автор: [event_target:gtt_author.GetDynName]\nПодробный текст, описывающий историю и культуру каждой провинции Тамриэля.;;;;;;;;;;;;;x;
book_guide_to_tamriel_improved;Дополненный Императорский путеводитель по Тамриэлю;;;;;;;;;;;;;x;
book_guide_to_tamriel_improved_desc;Автор: Флакк Терентий\nДополненный Императорский путеводитель по Тамриэлю - это 224-страничный путеводитель с иллюстрациями, написанный и проиллюстрированный имперским ученым Флакком Терентием и опубликованный в 2Э 581. Основную часть работы составляет тексты из предыдущего Императорского Путеводителя, а также дополнительные заметки о поездках автора по Тамриэлю и различные выдержки и отрывки из актуальных работ, дополнительно приобретённых в различных провинциях Тамриэля.;;;;;;;;;;;;;x;
book_pocket_guide_1;Карманный Путеводитель по Империи, 1-е издание;;;;;;;;;;;;;x;
book_pocket_guide_2;Карманный Путеводитель по Империи, 2-е издание;;;;;;;;;;;;;x;
book_pocket_guide_3;Карманный Путеводитель по Империи, 3-е издание;;;;;;;;;;;;;x;
book_pocket_guide_4;Карманный Путеводитель по Империи, 4-е издание;;;;;;;;;;;;;x;
book_pocket_guide_5;Карманный Путеводитель по Империи, 4-е издание;;;;;;;;;;;;;x;
book_pocket_guide_1_desc;Автор: [event_target:pg1_author.GetDynName], от имени Императорского Географического общества\Карманный Путеводитель по Империи является попыткой популяризировать и обновить старый, и к тому времени совсем отживший Дополненный Императорский путеводитель по Тамриэлю. Тексты в нём короче, чем в предыдущих путеводителях, но сие руководство, распространяемое Императорским Географическим обществом, выполнило свою задачу, и помогает объединить различные народы Тамриэля. Однако, критики, комментируя Путеводитель, утверждают, что это не более чем набор предвзятой пропаганды.;;;;;;;;;;;;;x;
book_pocket_guide_2_desc;"Автор: [event_target:pg2_author.GetDynName], от имени Императорского Географического общества\n2-е издание популярного Карманного Путеводителя. Подобно своему предшественнику, во втором издании представлены информативные, плотные тексты и иллюстрации различных народов и мест Тамриэля.2-е издание попыталось предоставить больше информации, чем 1-е издание, но, по мнению критиков, оно по-прежнему было сильно предвзято к любимым автору народам, изображая другие культуры более примитивными и низкими,  чем те, которые были в фаворе у автора. Так называемый, карманный" путеводитель 2-ого издания также вышел слишком большим, чтобы вместиться в обычный человеческий карман."";;;;;;;;;;;;;x;
