opinion_vamp_depth_turned_me_1;Обратил в вампира;;x
opinion_vamp_depth_turned_me_2;Обратил в вампира;;x
opinion_vamp_depth_turned_me_3;Обратил в вампира;;x
opinion_vamp_depth_turned_me_4;Обратил в вампира;;x
opinion_vamp_depth_turned_me_5;Обратил в вампира;;x
opinion_vamp_depth_resentful;Обратил в вампира;;x
opinion_vamp_depth_turned_me_6;Обратил в вампира;;x
EVTDESC_vamp_depth_resent;Вампирская жизнь имеет свои преимущества, но порой вы задаетесь вопросом, является ли этот образ жизни чем-то, за что вы действительно должны быть благодарны. Возможно, вампиризм, как гласит здравый смысл, является проклятием. Проклятие, которое заставляет вас охотиться на невинных, которые никогда бы не причинили вам вреда, проклятие, которое делает вас монстром в глазах богов и смертных. Проклятие, которое даровал вам ваш господин...;;x
EVTOPTA_vamp_depth_resent;Мой господин заплатит за это...;;x
EVTOPTA_vamp_depth_dont_resent;Глупости, вампиризм - это благословение!;;x
EVTOPTA_vamp_depth_resent_friend;Что хорошего в том, чтобы быть вампиром, если я вижу, как умирают все мои друзья?;;x
TOOLTP_vamp_depth_resent;Вы начинаете возмущаться, что ваш господин обратил вас...;;x
opinion_vamp_depth_child;Превратился в вампира;;x
EVTDESC_vamp_depth_resent_no_more;Меня интересовала мысль последнее время: оправдан ли мой гнев за Обратил в вампира к [From.GetFirstName]? Иногда я чувствую, что преимущества вампиризма перевешивают недостатки, если это так, разве я не должен быть ему благодарен?;;x
TOOLTP_vamp_depth_no_longer_resent;Вы простили обратившего вас.;;x
EVTOPTA_vamp_depth_no_longer_resent;В конце концов, вампиризм - это дар.;;x
EVTOPTA_vamp_depth_still_resent;Нет, я добьюсь того, чтобы [From.GetFirstName] настигла расплата.;;x

