DEATH_EXECUTION_ELEPHANTS;был(а) до смерти затоптан(а) мамонтами по приказу $KILLER$;;;;;;;;;x
DEATH_EXECUTION_ELEPHANTS_NO_KILLER;был(а) до смерти затоптан(а) мамонтами;;;;;;;;;x
DEATH_EXECUTION_SHARKS;был(а) заживо съеден(а) бешенными акулами по приказу $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SHARKS_NO_KILLER;был(а) заживо съеден(а) бешенными акулами;;;;;;;;;x
DEATH_EXECUTION_WAMASU;был(а) скормлен(а) вамасу по приказу $KILLER$;;;;;;;;;x
DEATH_EXECUTION_WAMASU_NO_KILLER;был(а) скормлен(а) вамасу;;;;;;;;;x
DEATH_EXECUTION_BLOOD_DRAIN;была выкачана вся кровь по приказу $KILLER$;;;;;;;;;x
DEATH_EXECUTION_BLOOD_DRAIN_NO_KILLER;была выкачана вся кровь;;;;;;;;;x
DEATH_EXECUTION_SEA_SERPENTS;был(а) заживо съеден(а) хищными морскими змеями по приказу $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SEA_SERPENTS_NO_KILLER;был(а) заживо съеден(а) хищными морскими змеями;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_FALL;был(а) сброшен(а) с высокого утёса криком $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_FALL_NO_KILLER;был(а) сброшен(а) с высокого утёса криком;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_TO_PIECES;разорван(а) на куски криком $KILLER$;;;;;;;;;x
DEATH_EXECUTION_SHOUTED_TO_PIECES_NO_KILLER;разорван(а) на куски криком;;;;;;;;;x
DEATH_MURDER_VAMPIRE;стал(а) пищей для вампира, $KILLER$;;;;;;;;;x
DEATH_MURDER_VAMPIRE_UNKNOWN;стал(а) пищей для вампира;;;;;;;;;x
DEATH_MURDER_LYCAN;был(а) растерзан(а) и убит(а) оборотнем, $KILLER$;;;;;;;;;x
DEATH_MURDER_LYCAN_UNKNOWN;был(а) растерзан(а) и убит(а) оборотнем;;;;;;;;;x
DEATH_MURDER_LYCAN_UNKNOWN_NO_KILLER;был(а) растерзан(а) и убит(а) оборотнем;;;;;;;;;x
DEATH_BASKING_SHARK;был(а) раздавлен(а) гигантской акулой;;;;;;;;;x
DEATH_BASKING_SHARK_NO_KILLER;был(а) раздавлен(а) гигантской акулой;;;;;;;;;x
DEATH_HORNETS;был(а) ужален(а) до смерти шершнями;;;;;;;;;x
DEATH_HORNETS_NO_KILLER;был(а) ужален(а) до смерти шершнями;;;;;;;;;x
DEATH_EXECUTION_DRAGONFIRE;был(а) сожжен(а) драконьим огнём по приказу $KILLER$;;;;;;;;;x
DEATH_EXECUTION_DRAGONFIRE_NO_KILLER;был(а) сожжен(а) драконьим огнём;;;;;;;;;x
DEATH_VANISH_DUNGEON;сгинул(а) в подземелье;;;;;;;;;x
DEATH_VANISH_DUNGEON_NO_KILLER;сгинул(а) в подземелье;;;;;;;;;x
DEATH_VANISH_DUNGEON;сгинул(а) в подземелье;;;;;;;;;x
DEATH_VANISH_DUNGEON_NO_KILLER;сгинул(а) в подземелье;;;;;;;;;x
DEATH_VANISH_WILDERNESS;сгинул(а) в глуши;;;;;;;;;x
DEATH_VANISH_WILDERNESS_NO_KILLER;сгинул(а) в глуши;;;;;;;;;x
DEATH_STARVED_WILDERNESS;от голода в глуши;;;;;;;;;x
DEATH_STARVED_WILDERNESS_NO_KILLER;от голода в глуши;;;;;;;;;x
DEATH_STARVED_DUNGEON;от голода в подземелье;;;;;;;;;x
DEATH_STARVED_DUNGEON_NO_KILLER;от голода в подземелье;;;;;;;;;x
DEATH_EDGY;получил(а) режущую рану;;;;;;;;;x
DEATH_EDGY_NO_KILLER;получил(а) режущую рану;;;;;;;;;x
DEATH_VAMPIRE_SUNLIGHT;сгорел(а) до тла от света Этериуса;;;;;;;;;x
DEATH_VAMPIRE_SUNLIGHT_NO_KILLER;сгорел(а) до тла от света Этериуса;;;;;;;;;x
DEATH_VAMPIRE_MALNUTRITION;умер(ла) от голода без крови;;;;;;;;;x
DEATH_VAMPIRE_MALNUTRITION_NO_KILLER;умер(ла) от голода без крови;;;;;;;;;x
DEATH_SHIVERING_ISLES;отправлен(а) на Дрожащие Острова;;;;;;;;;x
gambler_death;в захудалом игровом притоне;;;;;;;;;x
hedonist_death;в пьяном разгуле;;;;;;;;;x
slovenly_death;в [GetHerHis] грязи;;;;;;;;;x
former_slave_death;от побоев, как раб;;;;;;;;;x
p_hermamora_death;во время магического эксперимента;;;;;;;;;x
p_syrabane_death;во время магического эксперимента;;;;;;;;;x
p_psyrabane_death;во время магического эксперимента;;;;;;;;;x
hospital;Святилище;;;;;;;;;x
PV_HOSPITAL;Святилище;;;;;;;;;x
HOSPITAL_PROV;Святилище в $PROV$;;;;;;;;;x
ANY_HOSPITAL_STARTS;Любое Святилище;;;;;;;;;x
HOSPITAL_NOT_YET_AVAILABLE;Доступна технология для строительства Святилища;;;;;;;;;x
HOSPITAL_TAX_MODIFIER;Налог со Святилища;;;;;;;;;x
HOSPITAL_LEVY_SIZE;Ополчение Святилища;;;;;;;;;x
